"Sale_ID";"Product";"Quantity";"Price_per_Unit";"Sale_Date";"Customer_Region";"Region";"Manager"
165;"Keyboard";2;1031.79;"2023-09-23";"East";"East";"Charlie"
166;"Laptop";2;1418.83;"2023-05-13";"East";"East";"Charlie"
167;"Monitor";9;645.61;"2023-08-30";"North";"North";"Alice"
168;"Tablet";8;794.01;"2023-02-13";"West";"West";"David"
169;"Keyboard";9;1323.98;"2023-11-27";"North";"North";"Alice"
170;"Tablet";4;124.35;"2023-02-11";"West";"West";"David"
171;"Phone";3;1310.07;"2023-05-29";"North";"North";"Alice"
172;"Laptop";6;457.9;"2023-04-28";"East";"East";"Charlie"
173;"Monitor";3;818.92;"2023-12-29";"West";"West";"David"
174;"Keyboard";2;846.85;"2023-07-04";"East";"East";"Charlie"
175;"Laptop";5;281.06;"2023-11-14";"North";"North";"Alice"
176;"Laptop";5;1189.4;"2023-01-20";"North";"North";"Alice"
177;"Keyboard";3;1040.0;"2023-04-12";"East";"East";"Charlie"
178;"Phone";9;729.45;"2023-03-27";"West";"West";"David"
179;"Phone";4;331.41;"2023-09-28";"East";"East";"Charlie"
180;"Monitor";7;52.03;"2023-06-19";"West";"West";"David"
181;"Laptop";6;818.9;"2023-01-28";"South";"South";"Bob"
182;"Laptop";7;1188.57;"2023-08-28";"South";"South";"Bob"
183;"Phone";2;402.57;"2023-12-21";"East";"East";"Charlie"
184;"Monitor";2;1350.66;"2023-09-09";"East";"East";"Charlie"
185;"Monitor";3;370.29;"2023-07-27";"East";"East";"Charlie"
186;"Phone";4;388.37;"2023-01-18";"East";"East";"Charlie"
187;"Phone";9;956.41;"2023-10-26";"West";"West";"David"
188;"Monitor";9;195.89;"2023-12-20";"West";"West";"David"
189;"Keyboard";9;451.29;"2023-05-24";"East";"East";"Charlie"
190;"Tablet";1;1375.6;"2023-04-05";"South";"South";"Bob"
191;"Tablet";1;1074.29;"2023-01-12";"East";"East";"Charlie"
192;"Monitor";3;1327.77;"2023-10-13";"South";"South";"Bob"
193;"Keyboard";2;1324.02;"2023-01-15";"East";"East";"Charlie"
194;"Keyboard";8;585.55;"2023-02-20";"North";"North";"Alice"
195;"Phone";5;147.75;"2023-09-02";"North";"North";"Alice"
196;"Phone";1;270.47;"2023-05-13";"East";"East";"Charlie"
197;"Laptop";5;455.8;"2023-05-31";"East";"East";"Charlie"
198;"Laptop";2;620.86;"2023-03-30";"East";"East";"Charlie"
199;"Keyboard";3;528.58;"2023-10-27";"West";"West";"David"
200;"Monitor";3;682.19;"2023-07-01";"South";"South";"Bob"
